province,confirmed,death,new
Hà Nội,1646923,1232,2
Hồ Chí Minh,629018,19985,3
Hải Phòng,537527,138,5
Nghệ An,502049,145,11
Bắc Giang,391440,92,0
Vĩnh Phúc,375686,19,0
Hải Dương,372391,117,5
Quảng Ninh,356404,150,7
Bắc Ninh,353869,136,0
Thái Nguyên,347519,112,1
Phú Thọ,331520,97,4
Bình Dương,325667,3519,4
Nam Định,301101,150,1
Thái Bình,296789,23,0
Hưng Yên,244028,5,2
Hoà Bình,239941,102,1
Lào Cai,188846,38,0
Thanh Hóa,178595,109,2
Đắk Lắk,172439,201,0
Lạng Sơn,160752,85,0
Yên Bái,158046,13,6
Sơn La,153602,0,8
Cà Mau,147734,357,2
Tuyên Quang,147582,14,0
Tây Ninh,140444,944,0
Bình Định,139890,281,6
Quảng Bình,129648,74,13
Hà Giang,122610,80,0
Khánh Hòa,122036,364,4
Bình Phước,120003,224,1
Bà Rịa - Vũng Tàu,110822,497,2
Đà Nẵng,108712,338,0
Đồng Nai,107518,1903,0
Ninh Bình,104800,93,0
Vĩnh Long,103505,829,0
Bến Tre,99799,490,0
Cao Bằng,99051,59,3
Lâm Đồng,98238,141,0
Hà Nam,91467,65,3
Điện Biên,90757,23,26
Quảng Trị,86293,38,3
Bắc Kạn,77048,19,2
Cần Thơ,76925,958,0
Lai Châu,75519,0,1
Trà Vinh,75174,115,0
Đắk Nông,73427,47,0
Gia Lai,70961,116,0
Hà Tĩnh,55279,50,0
Bình Thuận,54300,482,0
Đồng Tháp,51614,1007,6
Quảng Ngãi,50513,127,0
Long An,50297,1088,0
Quảng Nam,49556,150,0
Thừa Thiên Huế,48186,173,6
Bạc Liêu,46949,470,0
Phú Yên,44481,137,0
Kiên Giang,43659,1027,0
An Giang,43297,1325,0
Tiền Giang,39902,1290,0
Sóc Trăng,34457,634,0
Kon Tum,26342,1,0
Hậu Giang,17900,231,0
Ninh Thuận,9001,60,0
